id,title_english,title_romaji,genres,averageScore,format,popularity,title
3024,Princess Knight,Ribbon no Kishi,Action Fantasy Mystery Romance,64.0,TV,2457,Princess Knight
3038,A Thousand & One Nights,Senya Ichiya Monogatari,Drama Fantasy,61.0,MOVIE,3186,A Thousand & One Nights
3472,Pictures at an Exhibition,Tenrankai no E,Comedy,56.0,MOVIE,961,Pictures at an Exhibition
3473,The Genesis,Souseiki,,49.0,MOVIE,696,The Genesis
3858,The Adventures of Hutch the Honeybee,Konchuu Monogatari Minashigo Hutch,Adventure Comedy Drama,64.0,TV,947,The Adventures of Hutch the Honeybee
3870,Demon of the Kick,Kick no Oni,Drama Sports,44.0,TV,468,Demon of the Kick
3900,Golden Bat,Ougon Bat,Action Sci-Fi,58.0,TV,1173,Golden Bat
4044,Humanoid Monster Bem,Youkai Ningen Bem,Horror,58.0,TV,994,Humanoid Monster Bem
4439,Judo Boy,Kurenai Sanshirou,Action Sports,55.0,TV,1048,Judo Boy
5023,The Legend of Ninja Kamui,Ninpuu Kamui Gaiden,Action Adventure,58.0,TV,1146,The Legend of Ninja Kamui
5098,The World of Hans Christian Andersen,Andersen Monogatari,Drama,52.0,MOVIE,461,The World of Hans Christian Andersen
5232,Manual of Ninja Martial Arts,Ninja Bugeichou,Action Drama Supernatural,45.0,MOVIE,877,Manual of Ninja Martial Arts
5760,Dororo,Dororo to Hyakkimaru,Action Adventure Supernatural,68.0,TV,8280,Dororo
5997,Sabu & Ichi's Arrest Warrant,Sabu to Ichi Torimono Hikae,Action Adventure Drama,66.0,TV,1254,Sabu & Ichi's Arrest Warrant
6056,SASUKE,Sasuke,Action,63.0,TV,1118,SASUKE
6872,Cyborg 009,Cyborg 009 (Movie),Action Adventure Drama Sci-Fi,54.0,MOVIE,1317,Cyborg 009
7255,Breaking of Branches is Forbidden,Hanaori,Comedy,48.0,MOVIE,479,Breaking of Branches is Forbidden
7259,Anthropo-Cynical Farce,Kenju Giga,Psychological,43.0,MOVIE,566,Anthropo-Cynical Farce
7290,Cyborg 009 and the Monster Wars,Cyborg 009: Kaijuu Sensou,Action Adventure Sci-Fi,53.0,MOVIE,860,Cyborg 009 and the Monster Wars
8149,Spooky Kitaro,Gegege no Kitarou (1968 Movie),Adventure Comedy Fantasy Horror Supernatural,52.0,MOVIE,395,Spooky Kitaro
8182,Adventure Boy Shadar,Bouken Shounen Shadar,Adventure Horror,52.0,TV_SHORT,317,Adventure Boy Shadar
8184,Adventure on the Gaboten Island,Bouken Gabotenjima,Adventure,63.0,TV,345,Adventure on the Gaboten Island
8394,Cyborg 009,Cyborg 009,Action Adventure Mecha Sci-Fi,59.0,TV,1781,Cyborg 009
8786,General Inakappe,Inakappe Taishou,Comedy Sports,62.0,TV,423,General Inakappe
8899,Marine Boy,Kaitei Shounen Marine,Action Adventure Sci-Fi,55.0,TV,396,Marine Boy
9392,Young Jack and the Witch,Shounen Jack to Mahou Tsukai,Adventure Fantasy,49.0,MOVIE,415,Young Jack and the Witch
18063,Tiger Mask: War against the League of Masked Wrestlers,Tiger Mask Fuku Men League Sen,,51.0,MOVIE,369,Tiger Mask: War against the League of Masked Wrestlers
99212,"Home, My Home","Home, My Home",,42.0,MOVIE,237,"Home, My Home"
102671,Oxed-Man,Ushi Atama,,36.0,MOVIE,232,Oxed-Man
104390,The Creation,Shin Tenchi Souzou,Comedy,37.0,MOVIE,585,The Creation
111941,The Ugly Duckling,Minikui Ahiru no Ko,,42.0,MOVIE,183,The Ugly Duckling
113847,Ten Little Indians,Juu-nin no Chiisa na Indian,,40.0,MUSIC,215,Ten Little Indians
311,Aim for the Ace!,Ace wo Nerae!,Drama Sports,70.0,TV,7577,Aim for the Ace!
1412,Lupin the 3rd,Lupin III,Adventure Comedy,74.0,TV,30140,Lupin the 3rd
1458,Space Knight Tekkaman,Uchuu no Kishi Tekkaman,Action Adventure Mecha Sci-Fi,60.0,TV,1456,Space Knight Tekkaman
1537,Ryu the Primitive Boy,Genshi Shounen Ryuu,Adventure Romance,58.0,TV,1084,Ryu the Primitive Boy
1650,Star Blazers: The Quest for Iscandar,Uchuu Senkan Yamato,Action Adventure Drama Sci-Fi,71.0,TV,9534,Star Blazers: The Quest for Iscandar
1661,Cutie Honey,Cutey Honey,Action Adventure Ecchi Mahou Shoujo Sci-Fi,60.0,TV,7133,Cutie Honey
1985,UFO Robo Grendizer,UFO Robo Grendizer,Mecha,70.0,TV,3907,UFO Robo Grendizer
2225,"Heidi, Girl of the Alps",Alps no Shoujo Heidi,Drama Slice of Life,72.0,TV,12088,"Heidi, Girl of the Alps"
2252,Devilman,Devilman,Action Fantasy Horror Supernatural,63.0,TV,12046,Devilman
2253,Mazinger Z,Mazinger Z,Action Drama Mecha Sci-Fi,68.0,TV,6136,Mazinger Z
2389,Gatchaman,Kagaku Ninja-Tai Gatchaman,Action Adventure Fantasy Sci-Fi,64.0,TV,3349,Gatchaman
2571,Maya the Bee,Mitsubachi Maya no Bouken,Adventure Comedy,62.0,TV,3018,Maya the Bee
2575,Don Chuck Stories,Don Chuck Monogatari,Adventure Slice of Life,58.0,TV,408,Don Chuck Stories
2611,Panda! Go Panda!,Panda Kopanda,Adventure Comedy Fantasy Slice of Life,61.0,MOVIE,3301,Panda! Go Panda!
2718,Triton of the Sea,Umi no Triton,Adventure Fantasy,59.0,TV,1016,Triton of the Sea
2823,Barbapapa,Barbapapa,Comedy Fantasy,57.0,TV_SHORT,905,Barbapapa
2825,Sinbad the Sailor,Arabian Nights: Sindbad no Bouken,Adventure Fantasy Romance,65.0,TV,1745,Sinbad the Sailor
2836,Vicky the Viking,Chiisana Viking Vickie,Adventure Comedy,62.0,TV,1370,Vicky the Viking
3043,Hans Christian Andersen's The Little Mermaid,Andersen Douwa Ningyo Hime,Drama Fantasy Romance,61.0,MOVIE,2012,Hans Christian Andersen's The Little Mermaid
3220,Belladonna of Sadness,Kanashimi no Belladonna,Drama Psychological,71.0,MOVIE,20432,Belladonna of Sadness
3388,Witch Girl Meg,Majokko Megu-chan,Mahou Shoujo,63.0,TV,1504,Witch Girl Meg
3579,Getter Robo,Getter Robo,Action Mecha Sci-Fi,64.0,TV,3710,Getter Robo
3720,Jack And The Beanstalk,Jack to Mame no Ki,Fantasy,53.0,MOVIE,738,Jack And The Beanstalk
3822,Laura,Sougen no Shoujo Laura,Adventure,54.0,TV,504,Laura
3842,Animal Treasure Island,Doubutsu Takarajima,Adventure,61.0,MOVIE,1376,Animal Treasure Island
3843,Ali Baba and the Forty Thieves,Ali Baba to 40-hiki no Touzoku,Action Fantasy,52.0,MOVIE,702,Ali Baba and the Forty Thieves
3844,Apache Baseball Team,Apache Yakyuugun,Action Sports,57.0,TV,559,Apache Baseball Team
